series,episode,baker,technical,result,uk_airdate,us_season,us_airdate,challenge,bake,dessert,chocolate,fruit,nut
4,4,Kimberley,4th,SB,10 September 2013,1,2015-01-18,signature,pecan and rosemary caramel apple pie,pie,no chocolate,fruit,pecan
4,5,Beca,5th,IN,17 September 2013,1,2015-01-25,signature,"chocolate, cherry and hazelnut brownies",other,chocolate,fruit,filbert
4,5,Frances,3rd,IN,17 September 2013,1,2015-01-25,signature,millionaire banoffee bonus,other,no chocolate,no fruit,no nut
4,5,Glenn,2nd,IN,17 September 2013,1,2015-01-25,signature,apricot and pistachio tiffin,other,no chocolate,fruit,pistachio
4,5,Howard,8th,IN,17 September 2013,1,2015-01-25,signature,breakfast traybake,other,no chocolate,no fruit,no nut
4,5,Kimberley,7th,IN,17 September 2013,1,2015-01-25,signature,cherry and almond bakewell florentine slice,other,no chocolate,fruit,almond
4,5,Ruby,6th,IN,17 September 2013,1,2015-01-25,signature,blackberry and lemon bakewell slice,other,no chocolate,fruit,no nut
4,5,Robert,4th,OUT,17 September 2013,1,2015-01-25,signature,blueberry & orange traybake,other,no chocolate,fruit,no nut
4,5,Christine,1st,SB,17 September 2013,1,2015-01-25,signature,mixed berry and almond crumble traybake,other,no chocolate,no fruit,almond
4,6,Beca,6th,IN,24 September 2013,1,2015-02-01,signature,bara brith,other,no chocolate,no fruit,no nut
4,6,Christine,4th,IN,24 September 2013,1,2015-02-01,signature,oxford nutty fruit loaf,other,no chocolate,fruit,no nut
4,6,Frances,2nd,IN,24 September 2013,1,2015-02-01,signature,chai tea loaf,other,no chocolate,no fruit,no nut
4,6,Glenn,5th,IN,24 September 2013,1,2015-02-01,signature,devonshire panettone,other,no chocolate,no fruit,no nut
4,6,Kimberley,3rd,IN,24 September 2013,1,2015-02-01,signature,chai spiced ginger and date tea loaf,other,no chocolate,fruit,no nut
4,6,Howard,7th,OUT,24 September 2013,1,2015-02-01,signature,date & hemp yorkshire loaf,other,no chocolate,fruit,no nut
4,6,Ruby,1st,SB,24 September 2013,1,2015-02-01,signature,citrus tea loaf,other,no chocolate,no fruit,no nut
4,7,Beca,1st,IN,1 October 2013,1,2015-02-08,signature,"spring lamb and vegetable suet pudding
with redcurrant gravy",pudding,no chocolate,fruit,no nut
4,7,Christine,6th,IN,1 October 2013,1,2015-02-08,signature,"spotted dick 'with a kick'
and vanilla custard ice cream",pudding,no chocolate,no fruit,no nut
4,7,Kimberley,4th,IN,1 October 2013,1,2015-02-08,signature,"barberry and apple spotted dick
with maple syrup and white chocolate custard",pudding,chocolate,fruit,no nut
4,7,Ruby,2nd,IN,1 October 2013,1,2015-02-08,signature,"plum jam roly-poly
with ginger ice cream",other,no chocolate,fruit,no nut
4,7,Glenn,3rd,OUT,1 October 2013,1,2015-02-08,signature,"prune and armagnac pudding
with boozy butterscotch sauce",pudding,no chocolate,no fruit,no nut
4,7,Frances,5th,SB,1 October 2013,1,2015-02-08,signature,"figgy roll-y poly pudding
with caramelised walnut and honey ice-cream",pudding,no chocolate,fruit,walnut
4,8,Beca,4th,IN,8 October 2013,1,2015-02-15,signature,"potato, spelt and rosemary focaccia",other,no chocolate,no fruit,no nut
4,8,Frances,3rd,IN,8 October 2013,1,2015-02-15,signature,'chelsea flour show' bun bouquet,other,no chocolate,no fruit,no nut
4,8,Kimberley,2nd,IN,8 October 2013,1,2015-02-15,signature,wild garlic pesto and parma ham spelt loaf,other,no chocolate,no fruit,no nut
4,8,Christine,5th,OUT,8 October 2013,1,2015-02-15,signature,"multi-seeded loaf with pumpkin, sesame and sunflower seeds",other,no chocolate,no fruit,no nut
4,8,Ruby,1st,SB,8 October 2013,1,2015-02-15,signature,mango and nigella seed spelt cob,other,no chocolate,fruit,no nut
4,9,Frances,2nd,IN,15 October 2013,1,2015-02-22,signature,"legume canapés:
chantenay carrots
choux pastry tomatoes
cauliflower cheese scones",other,no chocolate,fruit,no nut
4,9,Ruby,4th,IN,15 October 2013,1,2015-02-22,signature,"beetroot jelly on poppy seed biscuits
spinach, parmesan and egg tartlets
choux buns with goat's cheese and caramelised onions",pie,no chocolate,no fruit,no nut
4,9,Beca,3rd,OUT,15 October 2013,1,2015-02-22,signature,"stilton and walnut macarons
beetroot and salmon choux puffswelsh rarebit tartlets",pie,no chocolate,fruit,walnut
4,9,Kimberley,1st,SB,15 October 2013,1,2015-02-22,signature,"pea purée tarts
crab and wasabi profiteroles
steamed buns with barbecue chicken",pie,no chocolate,no fruit,no nut
4,10,Kimberley,1st,RUNNER UP,22 October 2013,1,2015-03-01,signature,chicken and pig pie,pie,no chocolate,no fruit,no nut
4,10,Ruby,2nd,RUNNER UP,22 October 2013,1,2015-03-01,signature,picnic basket pie,pie,no chocolate,no fruit,no nut
4,10,Frances,3rd,WINNER,22 October 2013,1,2015-03-01,signature,rainbow picnic pie,pie,no chocolate,no fruit,no nut
5,1,Chetna,3rd,IN,6 August 2014,2,2015-09-06,signature,"cardamom, pistachio and coffee swiss roll",cake,no chocolate,no fruit,pistachio
5,1,Diana,5th,IN,6 August 2014,2,2015-09-06,signature,mum's sunday tea lemon curd swiss roll,cake,no chocolate,fruit,no nut
5,1,Enwezor,9th,IN,6 August 2014,2,2015-09-06,signature,raspberry and lemon swiss roll,cake,no chocolate,fruit,no nut
5,1,Iain,4th,IN,6 August 2014,2,2015-09-06,signature,apricot and basil swiss roll with mascarpone and white chocolate cream,cake,chocolate,fruit,no nut
5,1,Jordan,12th,IN,6 August 2014,2,2015-09-06,signature,kawaii frasier swiss roll,cake,no chocolate,no fruit,no nut
5,1,Kate,6th,IN,6 August 2014,2,2015-09-06,signature,red velvet and white chocolate swiss roll,cake,chocolate,no fruit,no nut
5,1,Luis,7th,IN,6 August 2014,2,2015-09-06,signature,spanish swiss roll,cake,no chocolate,no fruit,no nut
5,1,Martha,2nd,IN,6 August 2014,2,2015-09-06,signature,tiramisu swiss roll,cake,no chocolate,no fruit,no nut
5,1,Norman,11th,IN,6 August 2014,2,2015-09-06,signature,black forest swiss roll,cake,no chocolate,no fruit,no nut
5,1,Richard,10th,IN,6 August 2014,2,2015-09-06,signature,pistachio and strawberry swiss roll,cake,no chocolate,fruit,pistachio
5,1,Claire,8th,OUT,6 August 2014,2,2015-09-06,signature,chocolatey orangey swirly roll,other,chocolate,fruit,no nut
5,1,Nancy,1st,SB,6 August 2014,2,2015-09-06,signature,coffee and hazelnut swiss roll,cake,no chocolate,fruit,filbert
5,2,Chetna,8th,IN,13 August 2014,2,2015-09-13,signature,fenugreek and carom crackers,other,no chocolate,no fruit,no nut
5,2,Diana,7th,IN,13 August 2014,2,2015-09-13,signature,parmesan triangles,other,no chocolate,no fruit,no nut
5,2,Iain,11th,IN,13 August 2014,2,2015-09-13,signature,za'atar and fig biscuits,other,no chocolate,fruit,no nut
5,2,Jordan,6th,IN,13 August 2014,2,2015-09-13,signature,"sourdough, parmesan and chilli biscuits",other,no chocolate,no fruit,no nut
5,2,Kate,4th,IN,13 August 2014,2,2015-09-13,signature,parmesan and apple biscuits,other,no chocolate,fruit,no nut
5,2,Luis,3rd,IN,13 August 2014,2,2015-09-13,signature,black olive and rosemary biscuits with caramelised onion glaze,other,no chocolate,fruit,no nut
5,2,Martha,5th,IN,13 August 2014,2,2015-09-13,signature,caramelised onion and goat's cheese sandwich biscuits,other,no chocolate,no fruit,no nut
5,2,Nancy,2nd,IN,13 August 2014,2,2015-09-13,signature,fennel and rye thins,other,no chocolate,no fruit,no nut
5,2,Norman,10th,IN,13 August 2014,2,2015-09-13,signature,farthing biscuits,other,no chocolate,no fruit,no nut
5,2,Enwezor,9th,OUT,13 August 2014,2,2015-09-13,signature,pumpkin and sunflower savoury biscuits,other,no chocolate,no fruit,no nut
5,2,Richard,1st,SB,13 August 2014,2,2015-09-13,signature,rosemary seeded crackers,other,no chocolate,no fruit,no nut
5,3,Chetna,8th,IN,20 August 2014,2,2015-09-20,signature,onion and pine nut rolls,other,no chocolate,fruit,no nut
5,3,Diana,7th,IN,20 August 2014,2,2015-09-20,signature,rustic picnic rolls,other,no chocolate,no fruit,no nut
5,3,Iain,9th,IN,20 August 2014,2,2015-09-20,signature,cranberry and walnut rye bread rolls,other,no chocolate,fruit,walnut
5,3,Kate,1st,IN,20 August 2014,2,2015-09-20,signature,orange and cardamom rye bread knots,other,no chocolate,fruit,no nut
5,3,Martha,3rd,IN,20 August 2014,2,2015-09-20,signature,date and walnut rye rolls,other,no chocolate,fruit,walnut
5,3,Nancy,5th,IN,20 August 2014,2,2015-09-20,signature,cider and walnut crusty rolls,other,no chocolate,fruit,walnut
5,3,Norman,4th,IN,20 August 2014,2,2015-09-20,signature,rye bread rolls,other,no chocolate,no fruit,no nut
5,3,Richard,6th,IN,20 August 2014,2,2015-09-20,signature,rye and cranberry rolls,other,no chocolate,fruit,no nut
5,3,Jordan,10th,OUT,20 August 2014,2,2015-09-20,signature,rye and spelt bread rolls,other,no chocolate,no fruit,no nut
5,3,Luis,2nd,SB,20 August 2014,2,2015-09-20,signature,opposites attract rolls,other,no chocolate,no fruit,no nut
5,4,Chetna,3rd,IN,27 August 2014,2,2015-09-27,signature,"rhubarb, strawberry and orange puddings",pudding,no chocolate,fruit,no nut
5,4,Diana,9th,IN,27 August 2014,2,2015-09-27,signature,orange and lemon curd pots,other,no chocolate,fruit,no nut
5,4,Kate,7th,IN,27 August 2014,2,2015-09-27,signature,chocolate and salted caramel molten puddings,pudding,chocolate,no fruit,no nut
5,4,Luis,2nd,IN,27 August 2014,2,2015-09-27,signature,pears in puddings,pudding,no chocolate,fruit,no nut
5,4,Martha,1st,IN,27 August 2014,2,2015-09-27,signature,peanut butter chocolate fondants,other,chocolate,fruit,peanut
5,4,Nancy,4th,IN,27 August 2014,2,2015-09-27,signature,pistachio puddings with chocolate sauce,pudding,chocolate,no fruit,pistachio
5,4,Norman,8th,IN,27 August 2014,2,2015-09-27,signature,mini sticky toffee puddings,pudding,no chocolate,no fruit,no nut
5,4,Iain,6th,OUT,27 August 2014,2,2015-09-27,signature,"chocolate, lime and raspberry fondants",other,chocolate,fruit,no nut
5,4,Richard,5th,SB,27 August 2014,2,2015-09-27,signature,black forest chocolate fondants,other,chocolate,no fruit,no nut
5,5,Chetna,2nd,IN,3 September 2014,2,2015-10-04,signature,rice custard tart with mangoes and raspberries,pie,no chocolate,fruit,no nut
5,5,Luis,6th,IN,3 September 2014,2,2015-10-04,signature,tropical manchester tart,pie,no chocolate,no fruit,no nut
5,5,Martha,1st,IN,3 September 2014,2,2015-10-04,signature,"pistachio, apricot and honey custard tart",pie,no chocolate,fruit,pistachio
5,5,Nancy,4th,IN,3 September 2014,2,2015-10-04,signature,chocolate-crusted passion fruit tart,pie,chocolate,no fruit,no nut
5,5,Richard,7th,IN,3 September 2014,2,2015-10-04,signature,fig and orange tart,pie,no chocolate,fruit,no nut
5,5,Diana,NA,LEFT,3 September 2014,2,2015-10-04,signature,NA,other,no chocolate,no fruit,no nut
5,5,Norman,5th,OUT,3 September 2014,2,2015-10-04,signature,tarte au citron,pie,no chocolate,no fruit,no nut
5,5,Kate,3rd,SB,3 September 2014,2,2015-10-04,signature,rhubarb and custard tart,pie,no chocolate,no fruit,no nut
5,6,Kate,6th,IN,10 September 2014,2,2015-10-11,signature,"pecan, chocolate and sour cherry yeast cake",cake,chocolate,fruit,pecan
5,6,Luis,3rd,IN,10 September 2014,2,2015-10-11,signature,apple & cinnamon kugelhopf with honeyed apples,other,no chocolate,fruit,no nut
5,6,Martha,4th,IN,10 September 2014,2,2015-10-11,signature,dark chocolate and almond liqueur savarin,cake,chocolate,no fruit,almond
5,6,Nancy,1st,IN,10 September 2014,2,2015-10-11,signature,rum punch savarin with coconut cream and tropical fruits,cake,no chocolate,fruit,no nut
5,6,Richard,5th,IN,10 September 2014,2,2015-10-11,signature,fruity guglhupf with an orange glaze,other,no chocolate,fruit,no nut
5,6,Chetna,2nd,SB,10 September 2014,2,2015-10-11,signature,orange savarin with cinnamon cream,cake,no chocolate,fruit,no nut
5,7,Chetna,6th,IN,17 September 2014,2,2015-10-18,signature,crispy lentil kachori,other,no chocolate,no fruit,no nut
5,7,Luis,5th,IN,17 September 2014,2,2015-10-18,signature,childhood empanadas,other,no chocolate,no fruit,no nut
5,7,Martha,3rd,IN,17 September 2014,2,2015-10-18,signature,mini beef wellingtons,other,no chocolate,no fruit,no nut
5,7,Nancy,2nd,IN,17 September 2014,2,2015-10-18,signature,spicy duck pasties,other,no chocolate,no fruit,no nut
5,7,Kate,4th,OUT,17 September 2014,2,2015-10-18,signature,spinach and paneer spicy samosa,other,no chocolate,no fruit,no nut
5,7,Richard,1st,SB,17 September 2014,2,2015-10-18,signature,minted lamb pasties,other,no chocolate,no fruit,no nut
5,8,Chetna,1st,IN,24 September 2014,2,2015-10-25,signature,date and walnut swirl bread,other,no chocolate,fruit,walnut
5,8,Luis,2nd,IN,24 September 2014,2,2015-10-25,signature,black forest cherry tree,other,no chocolate,fruit,no nut
5,8,Nancy,3rd,IN,24 September 2014,2,2015-10-25,signature,lincolnshire plum braid,other,no chocolate,fruit,no nut
5,8,Martha,5th,OUT,24 September 2014,2,2015-10-25,signature,spiced plum iced bread swirl,other,no chocolate,fruit,no nut
5,8,Richard,4th,SB,24 September 2014,2,2015-10-25,signature,fruit swedish tea ring,other,no chocolate,no fruit,no nut
5,9,Luis,1st,IN,1 October 2014,2,2015-11-01,signature,indian rose baklavahalwa baklava rolls,other,no chocolate,no fruit,no nut
5,9,Nancy,3rd,IN,1 October 2014,2,2015-11-01,signature,"coffee and chocolate baklava
breakfast baklava",other,chocolate,no fruit,no nut
5,9,Chetna,4th,OUT,1 October 2014,2,2015-11-01,signature,chocolate and orange baklavamasala chai baklava,other,chocolate,fruit,no nut
5,9,Richard,2nd,SB,1 October 2014,2,2015-11-01,signature,"rose and pistachio baklava
walnut and almond baklava",other,no chocolate,fruit,multiple
5,10,Luis,2nd,RUNNER UP,8 October 2014,2,2015-11-08,signature,"apple, walnut, raisin and cheshire cheese chaussonspain au chocolat blanc with raspberries and cream cheese",other,no chocolate,fruit,walnut
5,10,Richard,3rd,RUNNER UP,8 October 2014,2,2015-11-08,signature,"pear pain au chocolat
pain au lait",other,no chocolate,fruit,no nut
5,10,Nancy,1st,WINNER,8 October 2014,2,2015-11-08,signature,"apple and lemon kites
raspberry and almond croissants",other,no chocolate,fruit,almond
6,1,Alvin,2nd,IN,5 August 2015,3,2016-07-01,signature,orange vanilla and fig madeira cake,cake,no chocolate,fruit,no nut
6,1,Dorret,5th,IN,5 August 2015,3,2016-07-01,signature,madeira cake with candied lemons,cake,no chocolate,fruit,no nut
6,1,Flora,6th,IN,5 August 2015,3,2016-07-01,signature,blood orange madeira cake,cake,no chocolate,fruit,no nut
6,1,Ian,8th,IN,5 August 2015,3,2016-07-01,signature,somewhere west of madeira cake,cake,no chocolate,no fruit,no nut
6,1,Mat,7th,IN,5 August 2015,3,2016-07-01,signature,gin and tonic madeira cake,cake,no chocolate,no fruit,no nut
6,1,Nadiya,12th,IN,5 August 2015,3,2016-07-01,signature,orange and green cardamom madeira cake,cake,no chocolate,fruit,no nut
6,1,Paul,10th,IN,5 August 2015,3,2016-07-01,signature,"lemon, ginger and caraway seed madeira cake",cake,no chocolate,fruit,no nut
6,1,Sandy,9th,IN,5 August 2015,3,2016-07-01,signature,madeira cake with almond liqueur and chopped apricots,cake,no chocolate,fruit,almond
6,1,Tamal,4th,IN,5 August 2015,3,2016-07-01,signature,pistachio and rose madeira cake,cake,no chocolate,no fruit,pistachio
6,1,Ugnė,1st,IN,5 August 2015,3,2016-07-01,signature,lemon and thyme madeira cake,cake,no chocolate,fruit,no nut
6,1,Stu,11th,OUT,5 August 2015,3,2016-07-01,signature,marley madeira cake,cake,no chocolate,no fruit,no nut
6,1,Marie,3rd,SB,5 August 2015,3,2016-07-01,signature,zingy citrus madeira cake,cake,no chocolate,no fruit,no nut
6,2,Alvin,6th,IN,12 August 2015,3,2016-07-08,signature,"jackfruit, pistachio and macadamia biscotti",other,no chocolate,fruit,multiple
6,2,Dorret,1st,IN,12 August 2015,3,2016-07-08,signature,almond and apricot biscotti with amber sugar crystals,other,no chocolate,fruit,almond
6,2,Flora,2nd,IN,12 August 2015,3,2016-07-08,signature,wedding biscotti,other,no chocolate,no fruit,no nut
6,2,Mat,5th,IN,12 August 2015,3,2016-07-08,signature,"pistachio, cranberry and white chocolate biscotti",other,chocolate,fruit,pistachio
6,2,Nadiya,9th,IN,12 August 2015,3,2016-07-08,signature,"coconut, fennel and pistachio biscotti",other,no chocolate,fruit,pistachio
6,2,Paul,10th,IN,12 August 2015,3,2016-07-08,signature,"chocolate, hazelnut and fig biscotti",other,chocolate,fruit,filbert
6,2,Sandy,4th,IN,12 August 2015,3,2016-07-08,signature,chocolate chunk and hazelnut biscotti,other,chocolate,fruit,filbert
6,2,Tamal,8th,IN,12 August 2015,3,2016-07-08,signature,"cinnamon, maple and cranberry biscotti",other,no chocolate,fruit,no nut
6,2,Ugnė,7th,IN,12 August 2015,3,2016-07-08,signature,white wine biscotti,other,no chocolate,no fruit,no nut
6,2,Marie,11th,OUT,12 August 2015,3,2016-07-08,signature,biscotti italiano,other,no chocolate,no fruit,no nut
6,2,Ian,3rd,SB,12 August 2015,3,2016-07-08,signature,"orange, rosemary and almond biscotti",other,no chocolate,fruit,almond
6,3,Alvin,4th,IN,19 August 2015,3,2016-07-15,signature,"prosciutto, manchego and balsamic onion soda breads",other,no chocolate,no fruit,no nut
6,3,Flora,2nd,IN,19 August 2015,3,2016-07-15,signature,fig and hazelnut rye breads,other,no chocolate,fruit,filbert
6,3,Mat,8th,IN,19 August 2015,3,2016-07-15,signature,"jalapeño, mexican cheddar and smoked salt soda breads",other,no chocolate,no fruit,no nut
6,3,Nadiya,9th,IN,19 August 2015,3,2016-07-15,signature,mexican bread with warm tomato salsa,other,no chocolate,fruit,no nut
6,3,Paul,10th,IN,19 August 2015,3,2016-07-15,signature,cranberry and orange sweet soda breads,other,no chocolate,fruit,no nut
6,3,Sandy,7th,IN,19 August 2015,3,2016-07-15,signature,soda breads with smoked bacon and onion,other,no chocolate,no fruit,no nut
6,3,Tamal,3rd,IN,19 August 2015,3,2016-07-15,signature,"fig, cheese and walnut breads",other,no chocolate,fruit,walnut
6,3,Ugnė,5th,IN,19 August 2015,3,2016-07-15,signature,chocolate quick breads with salted caramel sauce,other,chocolate,no fruit,no nut
6,3,Dorret,6th,OUT,19 August 2015,3,2016-07-15,signature,walnut and stilton soda breads,other,no chocolate,fruit,walnut
6,3,Ian,1st,SB,19 August 2015,3,2016-07-15,signature,wild garlic pesto soda breads,other,no chocolate,no fruit,no nut
6,4,Alvin,9th,IN,26 August 2015,3,2016-07-15,signature,blackberry crème brûlées,other,no chocolate,fruit,no nut
6,4,Flora,3rd,IN,26 August 2015,3,2016-07-15,signature,rhubarb and ginger crème brûlées,other,no chocolate,no fruit,no nut
6,4,Mat,7th,IN,26 August 2015,3,2016-07-15,signature,coconut crème brûlées,other,no chocolate,fruit,no nut
6,4,Nadiya,8th,IN,26 August 2015,3,2016-07-15,signature,cinnamon tea crème brûlées,other,no chocolate,no fruit,no nut
6,4,Paul,1st,IN,26 August 2015,3,2016-07-15,signature,almond crème brûlées,other,no chocolate,no fruit,almond
6,4,Tamal,5th,IN,26 August 2015,3,2016-07-15,signature,rhubarb and ginger crème brûlées,other,no chocolate,no fruit,no nut
6,4,Ugnė,2nd,IN,26 August 2015,3,2016-07-15,signature,marula fruit and coffee liqueur crème brûlées,other,no chocolate,no fruit,no nut
6,4,Sandy,6th,OUT,26 August 2015,3,2016-07-15,signature,pontefract crème brûlées,other,no chocolate,no fruit,no nut
6,4,Ian,4th,SB,26 August 2015,3,2016-07-15,signature,pomegranate two ways crème brûlées,other,no chocolate,fruit,no nut
6,5,Alvin,8th,IN,2 September 2015,3,2016-07-22,signature,pineapple upside-down cake,cake,no chocolate,fruit,no nut
6,5,Flora,3rd,IN,2 September 2015,3,2016-07-22,signature,"pistachio, apple and cardamom madeleine cake",cake,no chocolate,fruit,pistachio
6,5,Ian,5th,IN,2 September 2015,3,2016-07-22,signature,honey and flowers cake,cake,no chocolate,no fruit,no nut
6,5,Mat,4th,IN,2 September 2015,3,2016-07-22,signature,sugar-free carrot cake,cake,no chocolate,no fruit,no nut
6,5,Paul,2nd,IN,2 September 2015,3,2016-07-22,signature,carrot & pecan cake,cake,no chocolate,no fruit,pecan
6,5,Tamal,7th,IN,2 September 2015,3,2016-07-22,signature,honey and grapefruit polenta cake,cake,no chocolate,fruit,no nut
6,5,Ugnė,6th,OUT,2 September 2015,3,2016-07-22,signature,chocolate and hazelnut sugar-free cake,cake,chocolate,fruit,filbert
6,5,Nadiya,1st,SB,2 September 2015,3,2016-07-22,signature,naked blueberry and caraway crunch cake,cake,no chocolate,fruit,no nut
6,6,Flora,2nd,IN,9 September 2015,3,2016-07-22,signature,apricot and rosemary frangipane tart,pie,no chocolate,fruit,no nut
6,6,Ian,3rd,IN,9 September 2015,3,2016-07-22,signature,pear and raspberry frangipane tart,pie,no chocolate,fruit,no nut
6,6,Nadiya,4th,IN,9 September 2015,3,2016-07-22,signature,"bay leaf, rong tea and pear tart",pie,no chocolate,fruit,no nut
6,6,Paul,5th,IN,9 September 2015,3,2016-07-22,signature,christmas frangipane tart,pie,no chocolate,no fruit,no nut
6,6,Tamal,7th,IN,9 September 2015,3,2016-07-22,signature,spiced pear frangipane tart,pie,no chocolate,fruit,no nut
6,6,Alvin,6th,OUT,9 September 2015,3,2016-07-22,signature,plum frangipane tart,pie,no chocolate,fruit,no nut
6,6,Mat,1st,SB,9 September 2015,3,2016-07-22,signature,piña colada frangipane tart,pie,no chocolate,no fruit,no nut
6,7,Flora,4th,IN,16 September 2015,3,2016-07-29,signature,game pie with shallot and apple chutney,pie,no chocolate,fruit,no nut
6,7,Ian,5th,IN,16 September 2015,3,2016-07-29,signature,roadkill pie,pie,no chocolate,no fruit,no nut
6,7,Nadiya,1st,IN,16 September 2015,3,2016-07-29,signature,aromatic raised game pie,pie,no chocolate,no fruit,no nut
6,7,Paul,2nd,IN,16 September 2015,3,2016-07-29,signature,not a boaring pie,pie,no chocolate,no fruit,no nut
6,7,Mat,6th,OUT,16 September 2015,3,2016-07-29,signature,raised venison and pigeon pie,pie,no chocolate,no fruit,no nut
6,7,Tamal,3rd,SB,16 September 2015,3,2016-07-29,signature,middle eastern game pie,pie,no chocolate,no fruit,no nut
6,8,Flora,3rd,IN,23 September 2015,3,2016-07-29,signature,peach & lemon thyme and smoked almond & butterscotch cream horns,other,no chocolate,fruit,almond
6,8,Ian,2nd,IN,23 September 2015,3,2016-07-29,signature,mont blanc & black forest gâteau horns,other,no chocolate,no fruit,no nut
6,8,Tamal,4th,IN,23 September 2015,3,2016-07-29,signature,lime & mascarpone and malt cream horns,other,no chocolate,fruit,no nut
6,8,Paul,5th,OUT,23 September 2015,3,2016-07-29,signature,café tipple & banana crunch-away horns,other,no chocolate,fruit,no nut
6,8,Nadiya,1st,SB,23 September 2015,3,2016-07-29,signature,rose pistachio and mocha hazelnut horns,other,no chocolate,fruit,multiple
6,9,Ian,3rd,IN,30 September 2015,3,2016-08-05,signature,chocolate and bay tart,pie,chocolate,no fruit,no nut
6,9,Tamal,2nd,IN,30 September 2015,3,2016-08-05,signature,chocolate new york pie,pie,chocolate,no fruit,no nut
6,9,Flora,1st,OUT,30 September 2015,3,2016-08-05,signature,passion fruit and chocolate tart,pie,chocolate,no fruit,no nut
6,9,Nadiya,4th,SB,30 September 2015,3,2016-08-05,signature,peanut salted caramel and chocolate tart,pie,chocolate,fruit,peanut
6,10,Ian,2nd,RUNNER UP,7 October 2015,3,2016-08-12,signature,elderflower and lemon & spiced buns,other,no chocolate,fruit,no nut
6,10,Tamal,3rd,RUNNER UP,7 October 2015,3,2016-08-12,signature,cinnamon and apple & toffee and marmalade iced buns,other,no chocolate,fruit,no nut
6,10,Nadiya,1st,WINNER,7 October 2015,3,2016-08-12,signature,cardamom and almond buns & nutmeg and sour cherry fingers,other,no chocolate,fruit,almond
7,1,Andrew,12th,IN,24 August 2016,4,2017-06-16,signature,lemon and rosemary drizzle cake,cake,no chocolate,fruit,no nut
7,1,Benjamina,6th,IN,24 August 2016,4,2017-06-16,signature,"pistachio, cardamom and lemon drizzle cake",cake,no chocolate,fruit,pistachio
7,1,Candice,5th,IN,24 August 2016,4,2017-06-16,signature,raspberry and rhubarb drizzle custard bundt cake,cake,no chocolate,fruit,no nut
7,1,Kate,4th,IN,24 August 2016,4,2017-06-16,signature,berry best apple and bramble drizzle cake,cake,no chocolate,fruit,no nut
7,1,Louise,9th,IN,24 August 2016,4,2017-06-16,signature,orange liqueur and lemonade drizzle cake,cake,no chocolate,fruit,no nut
7,1,Michael,3rd,IN,24 August 2016,4,2017-06-16,signature,"lime, ginger and honey drizzle cake",cake,no chocolate,fruit,no nut
7,1,Rav,8th,IN,24 August 2016,4,2017-06-16,signature,ginger spice yuzu drizzle cake,cake,no chocolate,no fruit,no nut
7,1,Selasi,1st,IN,24 August 2016,4,2017-06-16,signature,citrus and spice drizzle cake,cake,no chocolate,no fruit,no nut
7,1,Tom,2nd,IN,24 August 2016,4,2017-06-16,signature,g&t drizzle cake,cake,no chocolate,no fruit,no nut
7,1,Val,10th,IN,24 August 2016,4,2017-06-16,signature,mum's orange & lemon drizzle,other,no chocolate,fruit,no nut
7,1,Lee,11th,OUT,24 August 2016,4,2017-06-16,signature,st clements orange and lemon drizzle cake,cake,no chocolate,fruit,no nut
7,1,Jane,7th,SB,24 August 2016,4,2017-06-16,signature,lemon and poppy seed drizzle cake,cake,no chocolate,fruit,no nut
7,2,Andrew,4th,IN,31 August 2016,4,2017-06-16,signature,beehive biscuits,other,no chocolate,no fruit,no nut
7,2,Benjamina,3rd,IN,31 August 2016,4,2017-06-16,signature,bouquet biscuits,other,no chocolate,no fruit,no nut
7,2,Jane,2nd,IN,31 August 2016,4,2017-06-16,signature,flower pot iced biscuits,other,no chocolate,no fruit,no nut
7,2,Kate,1st,IN,31 August 2016,4,2017-06-16,signature,"""a biscuit for the broads""",other,no chocolate,no fruit,no nut
7,2,Michael,9th,IN,31 August 2016,4,2017-06-16,signature,"malt, chocolate and orange iced ""beer"" biscuits",other,chocolate,fruit,no nut
7,2,Rav,6th,IN,31 August 2016,4,2017-06-16,signature,union jack bunting biscuits,other,no chocolate,no fruit,no nut
7,2,Selasi,11th,IN,31 August 2016,4,2017-06-16,signature,"""wheelie hot iced biscuits""",other,no chocolate,no fruit,no nut
7,2,Tom,7th,IN,31 August 2016,4,2017-06-16,signature,chai frappelatteccino biscuits,other,no chocolate,no fruit,no nut
7,2,Val,5th,IN,31 August 2016,4,2017-06-16,signature,sunday treat iced ice cream cone biscuits,other,no chocolate,no fruit,no nut
7,2,Louise,10th,OUT,31 August 2016,4,2017-06-16,signature,baa bara brith biscuits,other,no chocolate,no fruit,no nut
7,2,Candice,8th,SB,31 August 2016,4,2017-06-16,signature,"salted caramel, chocolate iced shiny hearts",other,chocolate,no fruit,no nut
7,3,Andrew,2nd,IN,7 September 2016,4,2017-06-23,signature,chocolate barmbrack bread,other,chocolate,no fruit,no nut
7,3,Benjamina,6th,IN,7 September 2016,4,2017-06-23,signature,"chocolate, tahini and almond babka",other,chocolate,no fruit,almond
7,3,Candice,3rd,IN,7 September 2016,4,2017-06-23,signature,"chocolate, salted caramel & pecan brittle brioche loaf",other,chocolate,no fruit,pecan
7,3,Jane,9th,IN,7 September 2016,4,2017-06-23,signature,chocolate and cranberry couronne,other,chocolate,fruit,no nut
7,3,Kate,8th,IN,7 September 2016,4,2017-06-23,signature,cobbled loaf,other,no chocolate,no fruit,no nut
