series,episode,baker,technical,result,uk_airdate,us_season,us_airdate,showstopper_chocolate,showstopper_dessert,showstopper_fruit,showstopper_nut,signature_chocolate,signature_dessert,signature_fruit,signature_nut
4,5,Howard,8th,IN,17 September 2013,1,2015-01-25,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,5,Kimberley,7th,IN,17 September 2013,1,2015-01-25,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,almond
4,5,Ruby,6th,IN,17 September 2013,1,2015-01-25,no chocolate,pie,no fruit,no nut,no chocolate,other,fruit,no nut
4,5,Robert,4th,OUT,17 September 2013,1,2015-01-25,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
4,5,Christine,1st,SB,17 September 2013,1,2015-01-25,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,almond
4,6,Beca,6th,IN,24 September 2013,1,2015-02-01,chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
4,6,Christine,4th,IN,24 September 2013,1,2015-02-01,no chocolate,pudding,no fruit,no nut,no chocolate,other,fruit,no nut
4,6,Frances,2nd,IN,24 September 2013,1,2015-02-01,no chocolate,pudding,no fruit,no nut,no chocolate,other,no fruit,no nut
4,6,Glenn,5th,IN,24 September 2013,1,2015-02-01,no chocolate,other,fruit,almond,no chocolate,other,no fruit,no nut
4,6,Kimberley,3rd,IN,24 September 2013,1,2015-02-01,chocolate,other,fruit,filbert,no chocolate,other,fruit,no nut
4,6,Howard,7th,OUT,24 September 2013,1,2015-02-01,no chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
4,6,Ruby,1st,SB,24 September 2013,1,2015-02-01,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,7,Beca,1st,IN,1 October 2013,1,2015-02-08,chocolate,other,fruit,filbert,no chocolate,pudding,fruit,no nut
4,7,Christine,6th,IN,1 October 2013,1,2015-02-08,no chocolate,cake,fruit,no nut,no chocolate,pudding,no fruit,no nut
4,7,Kimberley,4th,IN,1 October 2013,1,2015-02-08,no chocolate,pie,fruit,no nut,chocolate,pudding,fruit,no nut
4,7,Ruby,2nd,IN,1 October 2013,1,2015-02-08,no chocolate,pie,fruit,no nut,no chocolate,other,fruit,no nut
4,7,Glenn,3rd,OUT,1 October 2013,1,2015-02-08,chocolate,pie,fruit,no nut,no chocolate,pudding,no fruit,no nut
4,7,Frances,5th,SB,1 October 2013,1,2015-02-08,no chocolate,other,no fruit,no nut,no chocolate,pudding,fruit,walnut
4,8,Beca,4th,IN,8 October 2013,1,2015-02-15,no chocolate,cake,fruit,pecan,no chocolate,other,no fruit,no nut
4,8,Frances,3rd,IN,8 October 2013,1,2015-02-15,no chocolate,cake,fruit,walnut,no chocolate,other,no fruit,no nut
4,8,Kimberley,2nd,IN,8 October 2013,1,2015-02-15,no chocolate,cake,fruit,no nut,no chocolate,other,no fruit,no nut
4,8,Christine,5th,OUT,8 October 2013,1,2015-02-15,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,8,Ruby,1st,SB,8 October 2013,1,2015-02-15,no chocolate,cake,no fruit,pistachio,no chocolate,other,fruit,no nut
4,9,Frances,2nd,IN,15 October 2013,1,2015-02-22,no chocolate,cake,no fruit,no nut,no chocolate,other,fruit,no nut
4,9,Ruby,4th,IN,15 October 2013,1,2015-02-22,chocolate,cake,no fruit,almond,no chocolate,pie,no fruit,no nut
4,9,Beca,3rd,OUT,15 October 2013,1,2015-02-22,no chocolate,cake,no fruit,no nut,no chocolate,pie,fruit,walnut
4,9,Kimberley,1st,SB,15 October 2013,1,2015-02-22,no chocolate,cake,fruit,no nut,no chocolate,pie,no fruit,no nut
4,10,Kimberley,1st,RUNNER UP,22 October 2013,1,2015-03-01,no chocolate,cake,no fruit,no nut,no chocolate,pie,no fruit,no nut
4,10,Ruby,2nd,RUNNER UP,22 October 2013,1,2015-03-01,no chocolate,cake,fruit,no nut,no chocolate,pie,no fruit,no nut
4,10,Frances,3rd,WINNER,22 October 2013,1,2015-03-01,no chocolate,cake,no fruit,no nut,no chocolate,pie,no fruit,no nut
5,1,Chetna,3rd,IN,6 August 2014,2,2015-09-06,no chocolate,other,fruit,no nut,no chocolate,cake,no fruit,pistachio
5,1,Diana,5th,IN,6 August 2014,2,2015-09-06,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
5,1,Enwezor,9th,IN,6 August 2014,2,2015-09-06,no chocolate,other,fruit,walnut,no chocolate,cake,fruit,no nut
5,1,Iain,4th,IN,6 August 2014,2,2015-09-06,no chocolate,cake,fruit,no nut,chocolate,cake,fruit,no nut
5,1,Jordan,12th,IN,6 August 2014,2,2015-09-06,no chocolate,cake,fruit,no nut,no chocolate,cake,no fruit,no nut
5,1,Kate,6th,IN,6 August 2014,2,2015-09-06,no chocolate,other,no fruit,no nut,chocolate,cake,no fruit,no nut
5,1,Luis,7th,IN,6 August 2014,2,2015-09-06,no chocolate,other,fruit,no nut,no chocolate,cake,no fruit,no nut
5,1,Martha,2nd,IN,6 August 2014,2,2015-09-06,no chocolate,cake,fruit,no nut,no chocolate,cake,no fruit,no nut
5,1,Norman,11th,IN,6 August 2014,2,2015-09-06,no chocolate,cake,fruit,almond,no chocolate,cake,no fruit,no nut
5,1,Richard,10th,IN,6 August 2014,2,2015-09-06,no chocolate,cake,fruit,walnut,no chocolate,cake,fruit,pistachio
5,1,Claire,8th,OUT,6 August 2014,2,2015-09-06,chocolate,cake,fruit,no nut,chocolate,other,fruit,no nut
5,1,Nancy,1st,SB,6 August 2014,2,2015-09-06,no chocolate,cake,fruit,no nut,no chocolate,cake,fruit,filbert
5,2,Chetna,8th,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,2,Diana,7th,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,2,Iain,11th,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
5,2,Jordan,6th,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,2,Kate,4th,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
5,2,Luis,3rd,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
5,2,Martha,5th,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,2,Nancy,2nd,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,2,Norman,10th,IN,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,2,Enwezor,9th,OUT,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,2,Richard,1st,SB,13 August 2014,2,2015-09-13,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,3,Chetna,8th,IN,20 August 2014,2,2015-09-20,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
5,3,Diana,7th,IN,20 August 2014,2,2015-09-20,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,3,Iain,9th,IN,20 August 2014,2,2015-09-20,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,walnut
5,3,Kate,1st,IN,20 August 2014,2,2015-09-20,no chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
5,3,Martha,3rd,IN,20 August 2014,2,2015-09-20,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,walnut
5,3,Nancy,5th,IN,20 August 2014,2,2015-09-20,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,walnut
5,3,Norman,4th,IN,20 August 2014,2,2015-09-20,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,3,Richard,6th,IN,20 August 2014,2,2015-09-20,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
5,3,Jordan,10th,OUT,20 August 2014,2,2015-09-20,no chocolate,cake,fruit,no nut,no chocolate,other,no fruit,no nut
5,3,Luis,2nd,SB,20 August 2014,2,2015-09-20,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,4,Chetna,3rd,IN,27 August 2014,2,2015-09-27,no chocolate,other,fruit,no nut,no chocolate,pudding,fruit,no nut
5,4,Diana,9th,IN,27 August 2014,2,2015-09-27,no chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
5,4,Kate,7th,IN,27 August 2014,2,2015-09-27,chocolate,other,fruit,pistachio,chocolate,pudding,no fruit,no nut
5,4,Luis,2nd,IN,27 August 2014,2,2015-09-27,no chocolate,other,no fruit,no nut,no chocolate,pudding,fruit,no nut
5,4,Martha,1st,IN,27 August 2014,2,2015-09-27,no chocolate,other,fruit,no nut,chocolate,other,fruit,peanut
5,4,Nancy,4th,IN,27 August 2014,2,2015-09-27,no chocolate,pudding,no fruit,no nut,chocolate,pudding,no fruit,pistachio
5,4,Norman,8th,IN,27 August 2014,2,2015-09-27,no chocolate,other,fruit,no nut,no chocolate,pudding,no fruit,no nut
5,4,Iain,6th,OUT,27 August 2014,2,2015-09-27,chocolate,other,no fruit,no nut,chocolate,other,fruit,no nut
5,4,Richard,5th,SB,27 August 2014,2,2015-09-27,no chocolate,other,no fruit,no nut,chocolate,other,no fruit,no nut
5,5,Chetna,2nd,IN,3 September 2014,2,2015-10-04,no chocolate,pie,no fruit,no nut,no chocolate,pie,fruit,no nut
5,5,Luis,6th,IN,3 September 2014,2,2015-10-04,no chocolate,other,no fruit,no nut,no chocolate,pie,no fruit,no nut
5,5,Martha,1st,IN,3 September 2014,2,2015-10-04,no chocolate,pie,no fruit,no nut,no chocolate,pie,fruit,pistachio
5,5,Nancy,4th,IN,3 September 2014,2,2015-10-04,no chocolate,pie,fruit,no nut,chocolate,pie,no fruit,no nut
5,5,Richard,7th,IN,3 September 2014,2,2015-10-04,no chocolate,pie,no fruit,no nut,no chocolate,pie,fruit,no nut
5,5,Diana,NA,LEFT,3 September 2014,2,2015-10-04,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
5,5,Norman,5th,OUT,3 September 2014,2,2015-10-04,no chocolate,pie,no fruit,no nut,no chocolate,pie,no fruit,no nut
5,5,Kate,3rd,SB,3 September 2014,2,2015-10-04,no chocolate,pie,fruit,no nut,no chocolate,pie,no fruit,no nut
5,6,Kate,6th,IN,10 September 2014,2,2015-10-11,no chocolate,cake,no fruit,no nut,chocolate,cake,fruit,pecan
5,6,Luis,3rd,IN,10 September 2014,2,2015-10-11,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
5,6,Martha,4th,IN,10 September 2014,2,2015-10-11,chocolate,cake,no fruit,no nut,chocolate,cake,no fruit,almond
5,6,Nancy,1st,IN,10 September 2014,2,2015-10-11,chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
5,6,Richard,5th,IN,10 September 2014,2,2015-10-11,no chocolate,cake,no fruit,no nut,no chocolate,other,fruit,no nut
5,6,Chetna,2nd,SB,10 September 2014,2,2015-10-11,chocolate,cake,no fruit,almond,no chocolate,cake,fruit,no nut
5,7,Chetna,6th,IN,17 September 2014,2,2015-10-18,chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
5,7,Luis,5th,IN,17 September 2014,2,2015-10-18,no chocolate,cake,fruit,peanut,no chocolate,other,no fruit,no nut
5,7,Martha,3rd,IN,17 September 2014,2,2015-10-18,no chocolate,pudding,no fruit,no nut,no chocolate,other,no fruit,no nut
5,7,Nancy,2nd,IN,17 September 2014,2,2015-10-18,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
5,7,Kate,4th,OUT,17 September 2014,2,2015-10-18,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
5,7,Richard,1st,SB,17 September 2014,2,2015-10-18,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
5,8,Chetna,1st,IN,24 September 2014,2,2015-10-25,chocolate,other,fruit,no nut,no chocolate,other,fruit,walnut
5,8,Luis,2nd,IN,24 September 2014,2,2015-10-25,no chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
5,8,Nancy,3rd,IN,24 September 2014,2,2015-10-25,chocolate,other,fruit,almond,no chocolate,other,fruit,no nut
5,8,Martha,5th,OUT,24 September 2014,2,2015-10-25,chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
5,8,Richard,4th,SB,24 September 2014,2,2015-10-25,no chocolate,pudding,fruit,no nut,no chocolate,other,no fruit,no nut
5,9,Luis,1st,IN,1 October 2014,2,2015-11-01,chocolate,other,fruit,pistachio,no chocolate,other,no fruit,no nut
5,9,Nancy,3rd,IN,1 October 2014,2,2015-11-01,no chocolate,other,fruit,no nut,chocolate,other,no fruit,no nut
5,9,Chetna,4th,OUT,1 October 2014,2,2015-11-01,chocolate,other,fruit,no nut,chocolate,other,fruit,no nut
5,9,Richard,2nd,SB,1 October 2014,2,2015-11-01,no chocolate,other,fruit,filbert,no chocolate,other,fruit,multiple
5,10,Luis,2nd,RUNNER UP,8 October 2014,2,2015-11-08,chocolate,other,no fruit,no nut,no chocolate,other,fruit,walnut
5,10,Richard,3rd,RUNNER UP,8 October 2014,2,2015-11-08,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
5,10,Nancy,1st,WINNER,8 October 2014,2,2015-11-08,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,almond
6,1,Alvin,2nd,IN,5 August 2015,3,2016-07-01,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
6,1,Dorret,5th,IN,5 August 2015,3,2016-07-01,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
6,1,Flora,6th,IN,5 August 2015,3,2016-07-01,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
6,1,Ian,8th,IN,5 August 2015,3,2016-07-01,no chocolate,other,fruit,no nut,no chocolate,cake,no fruit,no nut
6,1,Mat,7th,IN,5 August 2015,3,2016-07-01,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
6,1,Nadiya,12th,IN,5 August 2015,3,2016-07-01,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
6,1,Paul,10th,IN,5 August 2015,3,2016-07-01,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
6,1,Sandy,9th,IN,5 August 2015,3,2016-07-01,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,almond
6,1,Tamal,4th,IN,5 August 2015,3,2016-07-01,chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,pistachio
6,1,Ugnė,1st,IN,5 August 2015,3,2016-07-01,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
6,1,Stu,11th,OUT,5 August 2015,3,2016-07-01,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
6,1,Marie,3rd,SB,5 August 2015,3,2016-07-01,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
6,2,Alvin,6th,IN,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,multiple
6,2,Dorret,1st,IN,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,almond
6,2,Flora,2nd,IN,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
6,2,Mat,5th,IN,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,chocolate,other,fruit,pistachio
6,2,Nadiya,9th,IN,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,pistachio
6,2,Paul,10th,IN,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,chocolate,other,fruit,filbert
6,2,Sandy,4th,IN,12 August 2015,3,2016-07-08,no chocolate,other,fruit,no nut,chocolate,other,fruit,filbert
6,2,Tamal,8th,IN,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
6,2,Ugnė,7th,IN,12 August 2015,3,2016-07-08,no chocolate,cookie,no fruit,no nut,no chocolate,other,no fruit,no nut
6,2,Marie,11th,OUT,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
6,2,Ian,3rd,SB,12 August 2015,3,2016-07-08,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,almond
6,3,Alvin,4th,IN,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
6,3,Flora,2nd,IN,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,filbert
6,3,Mat,8th,IN,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
6,3,Nadiya,9th,IN,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
6,3,Paul,10th,IN,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
6,3,Sandy,7th,IN,19 August 2015,3,2016-07-15,no chocolate,other,fruit,walnut,no chocolate,other,no fruit,no nut
6,3,Tamal,3rd,IN,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,walnut
6,3,Ugnė,5th,IN,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,chocolate,other,no fruit,no nut
6,3,Dorret,6th,OUT,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,walnut
6,3,Ian,1st,SB,19 August 2015,3,2016-07-15,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
6,4,Alvin,9th,IN,26 August 2015,3,2016-07-15,no chocolate,cake,no fruit,no nut,no chocolate,other,fruit,no nut
6,4,Flora,3rd,IN,26 August 2015,3,2016-07-15,no chocolate,cake,no fruit,no nut,no chocolate,other,no fruit,no nut
6,4,Mat,7th,IN,26 August 2015,3,2016-07-15,chocolate,cake,no fruit,no nut,no chocolate,other,fruit,no nut
6,4,Nadiya,8th,IN,26 August 2015,3,2016-07-15,no chocolate,cake,no fruit,no nut,no chocolate,other,no fruit,no nut
6,4,Paul,1st,IN,26 August 2015,3,2016-07-15,no chocolate,cake,no fruit,no nut,no chocolate,other,no fruit,almond
6,4,Tamal,5th,IN,26 August 2015,3,2016-07-15,no chocolate,cake,fruit,filbert,no chocolate,other,no fruit,no nut
6,4,Ugnė,2nd,IN,26 August 2015,3,2016-07-15,no chocolate,cake,fruit,filbert,no chocolate,other,no fruit,no nut
6,4,Sandy,6th,OUT,26 August 2015,3,2016-07-15,no chocolate,cake,fruit,no nut,no chocolate,other,no fruit,no nut
6,4,Ian,4th,SB,26 August 2015,3,2016-07-15,no chocolate,cake,no fruit,no nut,no chocolate,other,fruit,no nut
6,5,Alvin,8th,IN,2 September 2015,3,2016-07-22,no chocolate,other,fruit,no nut,no chocolate,cake,fruit,no nut
6,5,Flora,3rd,IN,2 September 2015,3,2016-07-22,chocolate,other,fruit,no nut,no chocolate,cake,fruit,pistachio
6,5,Ian,5th,IN,2 September 2015,3,2016-07-22,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
6,5,Mat,4th,IN,2 September 2015,3,2016-07-22,no chocolate,other,fruit,no nut,no chocolate,cake,no fruit,no nut
6,5,Paul,2nd,IN,2 September 2015,3,2016-07-22,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,pecan
6,5,Tamal,7th,IN,2 September 2015,3,2016-07-22,no chocolate,other,fruit,no nut,no chocolate,cake,fruit,no nut
6,5,Ugnė,6th,OUT,2 September 2015,3,2016-07-22,chocolate,other,fruit,peanut,chocolate,cake,fruit,filbert
6,5,Nadiya,1st,SB,2 September 2015,3,2016-07-22,chocolate,other,fruit,no nut,no chocolate,cake,fruit,no nut
6,6,Flora,2nd,IN,9 September 2015,3,2016-07-22,chocolate,other,no fruit,no nut,no chocolate,pie,fruit,no nut
6,6,Ian,3rd,IN,9 September 2015,3,2016-07-22,no chocolate,other,no fruit,no nut,no chocolate,pie,fruit,no nut
6,6,Nadiya,4th,IN,9 September 2015,3,2016-07-22,no chocolate,other,fruit,no nut,no chocolate,pie,fruit,no nut
6,6,Paul,5th,IN,9 September 2015,3,2016-07-22,no chocolate,other,no fruit,no nut,no chocolate,pie,no fruit,no nut
6,6,Tamal,7th,IN,9 September 2015,3,2016-07-22,no chocolate,other,no fruit,no nut,no chocolate,pie,fruit,no nut
6,6,Alvin,6th,OUT,9 September 2015,3,2016-07-22,no chocolate,other,no fruit,no nut,no chocolate,pie,fruit,no nut
6,6,Mat,1st,SB,9 September 2015,3,2016-07-22,no chocolate,other,no fruit,no nut,no chocolate,pie,no fruit,no nut
6,7,Flora,4th,IN,16 September 2015,3,2016-07-29,no chocolate,other,fruit,no nut,no chocolate,pie,fruit,no nut
6,7,Ian,5th,IN,16 September 2015,3,2016-07-29,no chocolate,other,no fruit,no nut,no chocolate,pie,no fruit,no nut
6,7,Nadiya,1st,IN,16 September 2015,3,2016-07-29,no chocolate,other,fruit,no nut,no chocolate,pie,no fruit,no nut
6,7,Paul,2nd,IN,16 September 2015,3,2016-07-29,no chocolate,other,no fruit,no nut,no chocolate,pie,no fruit,no nut
6,7,Mat,6th,OUT,16 September 2015,3,2016-07-29,no chocolate,other,fruit,no nut,no chocolate,pie,no fruit,no nut
6,7,Tamal,3rd,SB,16 September 2015,3,2016-07-29,no chocolate,other,fruit,no nut,no chocolate,pie,no fruit,no nut
6,8,Flora,3rd,IN,23 September 2015,3,2016-07-29,chocolate,other,fruit,no nut,no chocolate,other,fruit,almond
6,8,Ian,2nd,IN,23 September 2015,3,2016-07-29,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
6,8,Tamal,4th,IN,23 September 2015,3,2016-07-29,no chocolate,other,fruit,pistachio,no chocolate,other,fruit,no nut
6,8,Paul,5th,OUT,23 September 2015,3,2016-07-29,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
6,8,Nadiya,1st,SB,23 September 2015,3,2016-07-29,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,multiple
6,9,Ian,3rd,IN,30 September 2015,3,2016-08-05,chocolate,other,no fruit,no nut,chocolate,pie,no fruit,no nut
6,9,Tamal,2nd,IN,30 September 2015,3,2016-08-05,chocolate,other,no fruit,no nut,chocolate,pie,no fruit,no nut
6,9,Flora,1st,OUT,30 September 2015,3,2016-08-05,no chocolate,other,no fruit,no nut,chocolate,pie,no fruit,no nut
6,9,Nadiya,4th,SB,30 September 2015,3,2016-08-05,no chocolate,other,no fruit,no nut,chocolate,pie,fruit,peanut
6,10,Ian,2nd,RUNNER UP,7 October 2015,3,2016-08-12,no chocolate,cake,no fruit,no nut,no chocolate,other,fruit,no nut
6,10,Tamal,3rd,RUNNER UP,7 October 2015,3,2016-08-12,no chocolate,cake,no fruit,no nut,no chocolate,other,fruit,no nut
6,10,Nadiya,1st,WINNER,7 October 2015,3,2016-08-12,no chocolate,cake,no fruit,no nut,no chocolate,other,fruit,almond
7,1,Andrew,12th,IN,24 August 2016,4,2017-06-16,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
7,1,Benjamina,6th,IN,24 August 2016,4,2017-06-16,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,pistachio
7,1,Candice,5th,IN,24 August 2016,4,2017-06-16,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
7,1,Kate,4th,IN,24 August 2016,4,2017-06-16,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
7,1,Louise,9th,IN,24 August 2016,4,2017-06-16,chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
7,1,Michael,3rd,IN,24 August 2016,4,2017-06-16,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
7,1,Rav,8th,IN,24 August 2016,4,2017-06-16,no chocolate,cake,no fruit,no nut,no chocolate,cake,no fruit,no nut
7,1,Selasi,1st,IN,24 August 2016,4,2017-06-16,chocolate,cake,fruit,no nut,no chocolate,cake,no fruit,no nut
7,1,Tom,2nd,IN,24 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
7,1,Val,10th,IN,24 August 2016,4,2017-06-16,chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
7,1,Lee,11th,OUT,24 August 2016,4,2017-06-16,no chocolate,cake,fruit,no nut,no chocolate,cake,fruit,no nut
7,1,Jane,7th,SB,24 August 2016,4,2017-06-16,chocolate,cake,fruit,no nut,no chocolate,cake,fruit,no nut
7,2,Andrew,4th,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Benjamina,3rd,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Jane,2nd,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Kate,1st,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Michael,9th,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,chocolate,other,fruit,no nut
7,2,Rav,6th,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Selasi,11th,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Tom,7th,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Val,5th,IN,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Louise,10th,OUT,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,2,Candice,8th,SB,31 August 2016,4,2017-06-16,no chocolate,other,no fruit,no nut,chocolate,other,no fruit,no nut
7,3,Andrew,2nd,IN,7 September 2016,4,2017-06-23,no chocolate,other,no fruit,no nut,chocolate,other,no fruit,no nut
7,3,Benjamina,6th,IN,7 September 2016,4,2017-06-23,no chocolate,other,no fruit,no nut,chocolate,other,no fruit,almond
7,3,Candice,3rd,IN,7 September 2016,4,2017-06-23,no chocolate,other,no fruit,no nut,chocolate,other,no fruit,pecan
7,3,Jane,9th,IN,7 September 2016,4,2017-06-23,no chocolate,other,no fruit,no nut,chocolate,other,fruit,no nut
7,3,Kate,8th,IN,7 September 2016,4,2017-06-23,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
7,3,Rav,10th,IN,7 September 2016,4,2017-06-23,no chocolate,pie,no fruit,no nut,chocolate,other,fruit,filbert
7,3,Selasi,5th,IN,7 September 2016,4,2017-06-23,no chocolate,other,no fruit,no nut,chocolate,other,fruit,no nut
7,3,Val,1st,IN,7 September 2016,4,2017-06-23,no chocolate,other,no fruit,no nut,chocolate,other,no fruit,no nut
7,3,Michael,7th,OUT,7 September 2016,4,2017-06-23,no chocolate,other,fruit,no nut,chocolate,other,no fruit,no nut
7,3,Tom,4th,SB,7 September 2016,4,2017-06-23,no chocolate,other,no fruit,no nut,chocolate,other,fruit,no nut
7,4,Andrew,4th,IN,14 September 2016,4,2017-06-30,no chocolate,other,no fruit,no nut,no chocolate,pudding,no fruit,no nut
7,4,Candice,2nd,IN,14 September 2016,4,2017-06-30,no chocolate,other,fruit,peanut,no chocolate,other,no fruit,no nut
